uniq_id,cluster
15abc66c-664d-581b-8a7f-283a7bc1e634,3
035b473a-3a71-5928-9718-4f2c8e8b6df6,4
6a57c399-4049-557a-8c80-01e97618436f,0
d3b554f6-79f8-5da7-b974-e912c6f767fb,4
659158fe-b2ca-5ea7-b5f2-205f74a5e4bc,0
69390ebf-5ded-5059-a2e5-bab448cc07e1,0
9d0cfb85-3c5e-5c77-a880-e1e4e6512d85,1
aed8f17f-e051-52d0-8e8f-7cb29697cb8d,2
38587d05-ed7c-54eb-acc2-057cec374f51,0
6ef05895-5331-5622-9303-0021258ea3cd,4
73032180-9768-5725-bc73-b9e6084cd4f8,2
f98b74ee-a08e-5b35-ad56-1be03ec21376,3
6f10619b-71b9-5e48-ba66-a9969b324b25,1
b660867d-40c5-563a-b5a8-049edea35f1f,0
285883ae-96db-58ea-946d-806950a7537d,2
e8709001-70a8-5b14-adc7-fd8fadf0ae78,0
2662d66b-536d-5893-af62-d284a61e86ed,4
72fa80c8-f396-5c31-9466-9fda1e540a84,0
372f9549-de5b-5857-b138-67c86537b1b8,4
950be137-d751-5d57-a37d-d6741f2c94a0,2
1082a97d-f659-596a-98ab-1c8cb1ac0c24,0
37323128-75a9-578b-9378-79653bfd5b52,4
6497a267-8b47-5f13-bf20-34ef1511185b,0
19cd42db-c797-5003-8f8e-239d885094d1,0
02f63b41-dc12-583b-9575-0526ada8642f,1
375ecb7f-d889-5bcb-9a53-d279b8e7e2c8,2
6149e9a6-4206-5254-bc7a-d9d448239f4c,1
39e60114-002d-50ed-b1a4-efff34e2a7a5,4
9836a914-1b28-5d08-adfb-e7f9a93b0b85,0
486b2524-dc5e-54c6-9da6-0863e2dd56a7,1
d00ad728-3d11-518d-9f4a-18893c80921c,4
6d6256df-3c3b-59f4-9069-27780435adbc,1
0acd8c1c-d689-5fc2-b0ba-9909a60f47dd,4
92344a28-7b9e-56f1-bd7b-093b1a5acd8c,0
f27f0e4d-1b21-5aef-8fdd-69bc0837ac33,1
69045b6b-304e-5851-b67b-096b81294819,4
cfbd7b91-5ce9-5e79-ad16-111ee7b3877f,0
2631f7c4-fc61-5b16-9824-7acf7fd59994,4
238e58d6-f7a8-55db-b3b8-8d9b414668f9,1
0bb9f115-d57e-520a-ba37-6dfe2a37f1f4,2
968ce011-a64e-53e9-970c-b80b52da220b,0
04bc3112-3c6b-551c-af8f-525b0646b183,4
4b0eeeee-a6c7-51bf-9638-bb38cb1e00e0,2
6375ed16-8243-5fc6-8ed9-20365c5c5de7,0
6f2f69a5-61e1-5dea-bc74-176e3b960ee3,3
57481a6c-63a7-51bb-899e-943e7fa684e2,2
6610e4d1-2f14-5a69-a4d1-12584a7fde3b,2
ce921425-0121-53b8-9ce8-1f455be7c9e8,2
7f277423-0559-534a-9d81-3e99b4e1626d,0
f7f497fa-e874-5af1-9507-90625430cef7,1
5fb1fa85-a59b-5617-866c-899ef9c50c1d,1
77d145c8-f7db-5b68-a1b8-ed082cbda5fd,2
fe25ae1d-4a82-57ad-9bab-b9de4321fd0b,4
ec2fa386-d456-5162-a194-ae35de162291,1
be6521c8-bac7-571c-a20b-3df58ff669ef,4
29fbb52e-67a0-5d5c-9d95-f560cdb6b7c3,0
adab56e1-c763-5991-9a14-7d7ca6529167,1
7ea6beb2-9253-55a7-89fa-7e29e0d5d8bd,2
0506ecfb-1a1b-563f-b2cf-b249c5d267f2,1
3e0fd88f-4a97-5379-becb-62829cfdbca7,4
e1988a1e-6fc2-5fbd-ae77-f7a836e2c2d8,2
de8420e9-0b53-5471-9e25-32cdfb012603,4
a8c63d2b-e8f3-5c06-a8d4-33f15bdcbdf3,0
feca0b89-547f-5bca-9b97-f255c5467e47,0
8e230727-1a1b-547f-a233-3ccc4ef17bdb,1
a031f165-da10-5a86-8d1b-d281590e33c9,0
55eabd2a-352d-5354-a153-f15dcc657226,4
8f3f62a9-3e8c-537b-b7b0-a12da9f859eb,0
e4fda4d9-23b6-59e9-86f8-fe7960dab725,4
aee9fd54-bdd4-5e41-ae5b-927b3f1819d5,1
30e84557-a54c-5566-9068-f448417f72e3,0
93eb095c-68d2-568f-a892-1f909dbe1010,1
e0fb90ab-766f-5b76-a61a-3d84ac26a42a,1
74672567-1d46-5854-8be5-4133f57d6fec,0
3033adad-ea69-5549-9c7a-6786116068c2,4
487adf3a-9485-5500-9c98-bcc391eda169,2
4184968f-0344-5a58-8c95-1bb6462b95b5,0
c195eccb-af04-5174-81ad-df5be468f8ff,4
77a17c14-0f11-5b89-87a8-84601f781520,1
30ea9c2f-9b59-558a-bfb1-17655a8e2d9a,0
62bad34b-9432-5be6-9993-9be69aae0d62,4
e0a9985c-7c38-53a4-ab2d-f12e40fcb401,0
7f534b37-e16d-5584-918b-5ca3dee77b60,4
3d3ed8f5-62bd-5fa4-b8e7-0f7db441630b,4
2ba43140-ce21-568b-9680-f8c09f438af8,0
bf5313ec-38d6-56ac-9845-afa3acd737ea,1
06e3b025-a397-5081-8078-9c2140875a89,2
2c7902b4-ae0c-5ed9-9cbc-b6927d0b3347,0
0ecaef9e-1dbd-5183-b8b2-94d290a435ac,4
743afd60-46fa-58dc-a8f9-0bb0c780cb15,1
55848e8c-e963-5855-9a45-d2ab1db4f990,4
